Код;Название;Краткое описание;Производитель;Артикул;Страна происхождения;Раздел 1;Раздел 2; Раздел 3; Остаток;Розничная;Розничная спец;Оптовая;Оптовая спец;Валюта 1;Валюта 2;Валюта 3;Валюта 4;Мин розничная цена;Мин оптовая цена;Размер скидки розн;Размер скидки опт;Количество для заказа (опт);Яндекс.Маркет;Только для розницы;
S00012890;Адаптер карбюратора 2150 Poulan;5300716-54.;Распродажа запчасти;5300716-54;США;Запчасти для садовой техники;Запчасти для бензопил;;1;729;;592;;RUB;;RUB;;729;592;;;1;0;0
D00064621;Адаптер колодезный АК Джилекс;для колодцев с бетонными кольцами диметром от 900 до 1100 мм, толщиной стенки от 75 до 90 мм;Джилекс;3600;Россия;Насосы;Оголовки скважинные;;0;6950;;5352;;RUB;;RUB;;6950;5352;;;1;1;0
D00010624;Адаптер ЛМЭ-750/457;;Энкор запчасти;238245;Россия;Запчасти для электроинструмента;Запчасти для шлифмашин ленточных (ЛШМ);;1;151;70;129;70;RUB;RUB;RUB;RUB;70;70;53,6423841059603;45,7364341085271;1;0;0
D00053704;Адаптер ножа ЕМ3411;;CHAMPION запчасти;202015000423;Китай;Запчасти для садовой техники;Запчасти для газонокосилок электрических;;1;30;;20;;RUB;;RUB;;30;20;;;1;0;0
F00005957;Адаптер отвертки аккумуляторной 01111;;Omax запчасти;25-11;Россия;Запчасти для электроинструмента;Запчасти для шуруповертов аккумуляторных;;1;55;23;43;23;RUB;RUB;RUB;RUB;23;23;58,1818181818182;46,5116279069767;1;0;0
F00006480;Адаптер подшипника 1150 РSК;;Kress запчасти;33538;Россия;Запчасти для электроинструмента;Запчасти для перфораторов;;1;358;;286;;RUB;;RUB;;358;286;;;1;0;0
D00077620;"Адаптер разборный Elitech G1"" для шланга 3/4""";;Elitech;181166;Россия;Насосы;Принадлежности для насосов;;1;99;;71;;RUB;;RUB;;99;71;;;1;0;0
D00065323;Адаптер улучшенный САУ для скважинного насоса;;Джилекс;9025;Россия;Насосы;Принадлежности для насосов;;0;4990;;3842;;RUB;;RUB;;4990;3842;;;1;0;0
F00003799;Адаптор+з/у ABS-16,8 Е;ДАПТЗУАВС16Е;DWT запчасти;АЗУАВС16Е;Германия;Запчасти для электроинструмента;Запчасти для шуруповертов аккумуляторных;;1;510;;415;;RUB;;RUB;;510;415;;;1;0;0
D00083627;Акк пила Status SCB100-16Kit + садовые ножницы;"Напряжение 16 В, АКБ Li-Ion 2х2Ач и ЗУ и, бесщеточный, шина 10 см, количество звеньев цепи 28, шаг цепи 1/4""";STATUS;07411401;Китай;Садовая техника;Пилы цепные;Аккумуляторные цепные пилы;1;19950;;14913;;RUB;;RUB;;19950;14913;;;1;0;0
D00084780;Аккумулятор  ELP 20В 2.0Ач RCB 2020S E0911.089.00;20В 2.0Ач Li-ion слайдер;Elitech;205869;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;0;3990;;2956;;RUB;;RUB;;3990;2956;;;1;0;0
D00084781;Аккумулятор  ELP 20В 4.0Ач RCB 2040S E0911.091.00;20В 4.0Ач Li-ion слайдер;Elitech;205871;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;4990;;3696;;RUB;;RUB;;4990;3696;;;1;0;0
D00084782;Аккумулятор  ELP 20В 5.0Ач RCB 2050S E0911.092.00;20В 5.0Ач Li-ion слайдер;Elitech;205872;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;5990;;4437;;RUB;;RUB;;5990;4437;;;1;0;0
D00053680;Аккумулятор 12В 1,5 Ач Li-ion;Напряжение 12 В, тип Li-ion, емкость 1,5 Ач, туннельный блок.;Интерскол;2400.011;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;2140;;1600;1500;RUB;;RUB;RUB;2140;1500;;6,25;1;1;0
D00053681;Аккумулятор 12В 2 Ач Li-ion;Напряжение 12 В, тип Li-ion, емкость 2 Ач, туннельный блок.;Интерскол;2400.017;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;3;2320;;1734;;RUB;;RUB;;2320;1734;;;1;1;0
D00080699;Аккумулятор 12В 2.0Ач Li-ion Elitech 1820.126900;12В 2.0Ач Li-ion  слайдер подходит к ДА10.8-12СЛ;Elitech;200216;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;1290;;921;;RUB;;RUB;;1290;921;;;1;0;0
D00080698;Аккумулятор 12В 4.0Ач Li-ion Elitech 1820.098400;12В 4.0Ач Li-ion  слайдер;Elitech;192573;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;2190;;1564;;RUB;;RUB;;2190;1564;;;1;0;0
D00075333;Аккумулятор 12В, 1,5Ач для Н550 Li-lon Калибр;Напряжение 12В, Ёмкость 1,5 Ач, Тип Li-lon;Калибр;020134К;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;3;1980;;1510;;RUB;;RUB;;1980;1510;;;1;0;0
D00080701;Аккумулятор 14,4В 2.0Ач Li-ion Elitech 1820.127000;14.4В 2.0Ач Li-ion  слайдер подходит к ДА14СЛ;Elitech;200217;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;1890;;1350;;RUB;;RUB;;1890;1350;;;1;0;0
D00080696;Аккумулятор 14,4В 4.0Ач Li-ion Elitech 1820.067500;14.4В 4.0Ач Li-ion  слайдер подходит к аккумуляторным шуруповертам ДА 18СЛК2;Elitech;188828;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;2990;;2136;;RUB;;RUB;;2990;2136;;;1;0;0
D00077300;Аккумулятор 18В 2.0Ач Li-ion Elitech;18В 2.0Ач Li-ion слайдер подходит к аккумуляторным шуруповертам ДА18СЛ;Elitech;200218;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;2490;;1779;;RUB;;RUB;;2490;1779;;;1;0;0
D00084029;Аккумулятор 18В 2.0Ач Li-ion Elitech Уценка;Новый с полной гарантией. Паспорт отсутствует.18В 2.0Ач Li-ion слайдер подходит к аккумуляторным шуруповертам ДА18СЛ;УЦЕНКА;200218 У;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;2990;2690;2136;1890;RUB;RUB;RUB;RUB;2690;1890;10,0334448160535;11,5168539325843;1;0;0
D00077299;Аккумулятор 18В 4.0Ач Li-ion Elitech;18В 4.0Ач Li-ion  слайдер подходит к аккумуляторным шуруповертам ДА 18СЛК2;Elitech;188830;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;3690;;2636;;RUB;;RUB;;3690;2636;;;1;0;0
D00067387;Аккумулятор 20V, 4 Ah Li-ion Status;Мощность 20 В, 4 А.ч  Li-ion. Совместимость с моделями CTW-24Li, CTW20-2Li;STATUS;07722201;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;4550;;3401;;RUB;;RUB;;4550;3401;;;1;1;0
D00081133;Аккумулятор 20В 2.0Ач Li-ion Crown CAB202013XE CB;20В 2.0Ач Li-ion  слайдер;Crown;CAB202013XE CB;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;3790;;2964;;RUB;;RUB;;3790;2964;;;1;0;0
D00081096;Аккумулятор 20В 4.0Ач Li-ion Crown CAB204014XE;20В 4.0Ач Li-ion  слайдер совместимый ЗУ  CAC204001X;Crown;CAB204014XE;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;3;5990;;4684;;RUB;;RUB;;5990;4684;;;1;0;0
D00082424;Аккумулятор 20В 4.0Ач Li-ion Crown CAB204014XE CB;20В 4.0Ач Li-ion  слайдер совместимый ЗУ  CAC204001X;Crown;CAB204014XE CB;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;5990;;4684;;RUB;;RUB;;5990;4684;;;1;0;0
D00083632;Аккумулятор ABCBL16 Li  Status;Напряжение 16 В, тип Li-ion, емкость 2 А.ч, Совместимость с моделями CBL 16-2Li / SCB100-16KIT/  CP 115;STATUS;07722501;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;2550;;1906;;RUB;;RUB;;2550;1906;;;1;0;0
D00083907;Аккумулятор ABCTW 20-2Li  2 Ah  Status;Напряжение 20 В, тип Li-ion, емкость 2 А.ч, Совместимость с моделями CTW-24Li, CTW20-2Li , MPB20,  SH125E;STATUS;07722301;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;2950;;2205;;RUB;;RUB;;2950;2205;;;1;0;0
D00070594;Аккумулятор CHAMPION B1811 18В 2Ач Li-ion;;Champion;B1811;Китай;Садовая техника;Аккумуляторы и з/у для садовой техники;;1;2990;;2400;;RUB;;RUB;;2990;2400;;;1;0;0
D00069908;Аккумулятор CHAMPION B1812 18В 4Ач Li-ion;;Champion;B1812;Китай;Садовая техника;Аккумуляторы и з/у для садовой техники;;3;4990;;4000;;RUB;;RUB;;4990;4000;;;1;0;0
D00053632;Аккумулятор CHAMPION B360 36В 2,6Ач Li-ion;;Champion;B360;Китай;Садовая техника;Аккумуляторы и з/у для садовой техники;;1;8490;;6800;;RUB;;RUB;;8490;6800;;;1;0;0
D00055594;Аккумулятор CHAMPION B400 36В 2,5Ач Li-ion;;Champion;B400;Китай;Садовая техника;Аккумуляторы и з/у для садовой техники;;1;6290;;5050;;RUB;;RUB;;6290;5050;;;1;0;0
D00079884;Аккумулятор CHAMPION B401 36В 4,0Ач Li-ion;;Champion;B401;Китай;Садовая техника;Аккумуляторы и з/у для садовой техники;;3;9990;;8000;;RUB;;RUB;;9990;8000;;;1;0;0
D00006979;Аккумулятор CID-220;4031501005;Elmos запчасти;4031501005;Германия;Запчасти для электроинструмента;Запчасти для шуруповертов аккумуляторных;;1;2632;;2193;;RUB;;RUB;;2632;2193;;;1;0;0
F00006768;Аккумулятор JB160 OTD Talon;;Распродажа запчасти;ЖБ160ОТД;Россия;Запчасти для электроинструмента;Запчасти для шуруповертов аккумуляторных;;1;870;;754;;RUB;;RUB;;870;754;;;1;0;0
F00006769;Аккумулятор JB180 STD Talon;;Распродажа запчасти;ЖБ180СТД;Россия;Запчасти для электроинструмента;Запчасти для шуруповертов аккумуляторных;;1;2325;;1938;;RUB;;RUB;;2325;1938;;;1;0;0
D00074401;Аккумулятор Li-ion в сборе 18V/1,5Ah уценен;;NEXTTOOL запчасти;AA005000067У;Китай;Запчасти для электроинструмента;Запчасти для шуруповертов аккумуляторных;;1;500;250;350;175;RUB;RUB;RUB;RUB;250;175;50;50;1;0;0
